                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.578,                 1.4245,                 1.4475,                 0.6116,                0.57244,                0.59623,                0.29565,                 1.8018,                 1.5157,                 1.6413,             0.00026161,             0.00026161,             0.00026161
                     35,                  1.562,                 1.4087,                 1.4337,                0.61251,                 0.5614,                0.59003,                0.28886,                 1.8053,                 1.5255,                 1.6444,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.5693,                 1.3852,                 1.4347,                0.60468,                 0.5753,                0.59248,                0.29427,                 1.7989,                 1.5075,                 1.6378,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.5554,                  1.376,                 1.4271,                0.60468,                0.56961,                0.59708,                0.29709,                 1.8043,                 1.4961,                 1.6449,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.5341,                 1.3543,                  1.413,                0.63336,                0.57049,                0.59994,                0.29498,                 1.8186,                 1.4936,                 1.6505,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.5312,                 1.3355,                 1.4165,                0.63869,                0.56338,                0.60028,                0.29498,                 1.8203,                 1.4995,                 1.6595,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.5162,                 1.3084,                 1.4016,                0.62894,                0.56985,                0.60447,                0.29614,                 1.8145,                 1.4897,                 1.6531,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.5414,                 1.2539,                 1.4527,                0.61417,                0.58037,                0.60222,                0.29444,                 1.8245,                 1.4897,                 1.6503,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.5184,                 1.2061,                 1.4381,                0.63065,                0.56538,                 0.6054,                0.29613,                 1.8282,                 1.4881,                 1.6595,             0.00014851,             0.00014851,             0.00014851
                     43,                  1.504,                  1.177,                 1.4268,                0.61469,                0.57966,                0.60452,                0.29306,                 1.8384,                 1.4774,                 1.6715,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.4942,                 1.1524,                 1.4223,                0.63881,                0.57041,                0.60982,                0.29724,                  1.842,                 1.4663,                 1.6726,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.4765,                 1.1253,                 1.4106,                0.62121,                 0.5801,                0.60777,                0.29539,                 1.8579,                 1.4716,                 1.6832,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.4553,                 1.1132,                 1.3953,                0.63357,                0.58125,                0.60948,                0.29707,                 1.8576,                 1.4794,                 1.6882,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                  1.455,                 1.1008,                 1.3886,                 0.6114,                0.60473,                0.61636,                0.29753,                 1.8592,                 1.4669,                 1.6883,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.4402,                 1.0773,                 1.3814,                0.63583,                0.57719,                0.61163,                0.29667,                 1.8626,                 1.4705,                 1.7003,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.4354,                 1.0623,                 1.3769,                0.63642,                0.57704,                0.61122,                0.29556,                 1.8702,                 1.4628,                 1.7022,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.4265,                 1.0666,                  1.372,                0.61971,                0.58773,                0.61206,                0.29623,                 1.8763,                 1.4792,                 1.7022,             3.5414e-05,             3.5414e-05,             3.5414e-05
